group	whole_count	whole_all
ALDC superfamily	2	7270730
DNA packaging protein FI	1	7270730
PCMH-like FAD binding	1	7270730
Protein similar to CwfJ C-terminus 2	13	7270730
S15/NS1 RNA-binding domain superfamily	14	7270730
Tho1/MOS11 C-terminal domain	5	7270730
Fcf2 pre-rRNA processing	1	7270730
Got1/Sft2-like family	2	7270730
Mitochondrial ATPase inhibitor	9	7270730
Syntaxin 6	2	7270730
Cdc37 C terminal domain	7	7270730
Histone-binding protein RBBP4 or subunit C of CAF1 complex	13	7270730
Plectin repeat	6	7270730
Large polyvalent protein associated domain 23	3	7270730
SpoVAC/SpoVAEB sporulation membrane protein	9	7270730
Fungal mating-type pheromone	4	7270730
Novel toxin 16	4	7270730
Major Vault Protein repeat superfamily	18	7270730
MgtA leader peptide	2	7270730
Immunity protein 50	4	7270730
Phospholipid-translocating ATPase N-terminal	8	7270730
Flotillin	3	7270730
Pre-mRNA-splicing factor SF3A3	8	7270730
FlxA-like protein	2	7270730
Anti-sigma factor N-terminus	3	7270730
DNA circularisation protein N-terminus	2	7270730
Large polyvalent-protein-associated domain 15	4	7270730
Nucleoside recognition	6	7270730
DNL zinc finger	14	7270730
PLAT domain like superfamily	1	7270730
rod shape-determining protein MreC	12	7270730
D-Tyr-tRNA(Tyr) deacylase	7	7270730
DASH complex subunit Dad2	4	7270730
Methyladenine glycosylase	2	7270730
EndoU-like endoribonuclease superfamily	2	7270730
Phage ABA sandwich domain	16	7270730
Beta-catenin-interacting protein ICAT	5	7270730
Plant PDR ABC transporter associated	12	7270730
DUSP domain	9	7270730
BRCA2 repeat	9	7270730
Stm1	12	7270730
Proteasome beta subunits C terminal	28	7270730
Rapid ALkalinization Factor (RALF)	18	7270730
DVL family	19	7270730
Transcriptional repressor	36	7270730
Epidermal patterning factor proteins	18	7270730
Lateral organ boundaries (LOB) domain	1	7270730
QLQ	22	7270730
Villin headpiece domain	53	7270730
Ca2+-ATPase N terminal autoinhibitory domain	11	7270730
PMR5 N terminal Domain	23	7270730
Chitin recognition protein	8	7270730
tify domain	14	7270730
Putative gypsy type transposon	18	7270730
X8 domain	32	7270730
LSD1 zinc finger	9	7270730
Uncharacterized protein conserved in archaea (DUF2073)	10	7270730
Arabinogalactan peptide	12	7270730
Rx N-terminal domain	23	7270730
Argonaute linker 1 domain	14	7270730
Root cap	5	7270730
VQ motif	14	7270730
Gibberellin regulated protein	8	7270730
GAG-pre-integrase domain	141	7270730
F/Y rich C-terminus	9	7270730
Cleavage site for pathogenic type III effector avirulence factor Avr	21	7270730
PLATZ transcription factor	5	7270730
zinc-binding in reverse transcriptase	49	7270730
Shugoshin C terminus	6	7270730
Transmembrane protein 254	1	7270730
Plant antimicrobial peptide	2	7270730
Pectate lyase	3	7270730
DNA binding protein S1FA	2	7270730
Late embryogenesis abundant (LEA) group 1	2	7270730
Pex14 N-terminal domain	19	7270730
Wall-associated receptor kinase galacturonan-binding	6	7270730
K-box region	2	7270730
cwf21 domain	11	7270730
Avidin family	3	7270730
ZF-HD protein dimerisation region	8	7270730
DDT domain	4	7270730
Seed maturation protein	7	7270730
Uncharacterized protein conserved in bacteria (DUF2251)	7	7270730
NADH-ubiquinone oxidoreductase 11 kDa subunit	6	7270730
TAZ zinc finger	5	7270730
Potato type II proteinase inhibitor family	3	7270730
WSTF	5	7270730
Transcription factor regulating root and shoot growth via Pin3	10	7270730
Early nodulin 93 ENOD93 protein	1	7270730
Snf2-ATP coupling	4	7270730
P21-Rho-binding domain	6	7270730
GCK domain	4	7270730
Early Flowering 4 domain	2	7270730
Adenylate cyclase associated (CAP) N terminal	4	7270730
Proline-rich nuclear receptor coactivator motif	4	7270730
RCD1-SRO-TAF4 (RST) plant domain	1	7270730
FAST kinase-like protein	4	7270730
Aldehyde oxidase and xanthine dehydrogenase	6	7270730
Thylakoid soluble phosphoprotein TSP9	4	7270730
S-locus glycoprotein domain	1	7270730
NADH-Ubiquinone oxidoreductase (complex I)	32	7270730
Anaphase-promoting complex APC subunit CDC26	20	7270730
Phytosulfokine precursor protein (PSK)	2	7270730
Putative AtpZ or ATP-synthase-associated	1	7270730
Shugoshin N-terminal coiled-coil region	2	7270730
E2F transcription factor CC-MB domain	2	7270730
NUC153 domain	21	7270730
Vta1 C-terminal domain	21	7270730
AOC barrel-like superfamily	7	7270730
HCNGP-like protein	2	7270730
linker between RRM2 and RRM3 domains in RBM39 protein	5	7270730
Clr5 domain	3	7270730
Endospore appendages	2	7270730
Flagellar protein YcgR	5	7270730
Spore Coat Protein X and V domain	4	7270730
Thiopeptide-type bacteriocin precursor	1	7270730
ArdcN superfamily	13	7270730
CFEM domain	13	7270730
DNA polymerase alpha subunit p180 N terminal	8	7270730
Membrane magnesium transporter	1	7270730
NUP57/Nup54 C-terminal domain	3	7270730
CTD kinase subunit gamma CTK3 C-terminus	9	7270730
Endosomal sorting complex assembly domain	19	7270730
Spc24 subunit of Ndc80	6	7270730
Stress-induced protein Di19	1	7270730
DVNP family	434	7270730
SOH1	3	7270730
Heterogeneous nuclear ribonucleoprotein Q acidic domain	15	7270730
KNOX2 domain	2	7270730
A20-like zinc finger	8	7270730
Organ specific protein	1	7270730
Salt stress response/antifungal	2	7270730
WPP domain	2	7270730
S-adenosyl-l-methionine decarboxylase leader peptide	2	7270730
Plant self-incompatibility protein S1	1	7270730
Polyphenol oxidase middle domain	1	7270730
ATP-grasp N-terminal domain	1	7270730
Tetrahydrodipicolinate N-succinyltransferase N-terminal	6	7270730
Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1	1	7270730
Sex factor F TraW protein N terminal	1	7270730
Opacity-associated protein A N-terminal motif	1	7270730
Polyphosphate kinase N-terminal domain	3	7270730
SiaC family regulatory phosphoprotein	8	7270730
Zinc finger protein	5	7270730
Carbohydrate-binding module 64	5	7270730
DNA polymerase Ligase (LigD)	42	7270730
Epoxyqueuosine reductase QueG	3	7270730
N-terminal domain of argonaute	6	7270730
Tubulin binding cofactor A	2	7270730
RNA polymerase beta subunit external 1 domain	5	7270730
Gon7 family	8	7270730
GHH signature containing HNH/Endo VII superfamily nuclease toxin	5	7270730
Amino acid permease N-terminal	1	7270730
Large polyvalent protein-associated domain 7	5	7270730
Peptidase Clan ML	2	7270730
Xeroderma pigmentosum group B helicase damage recognition domain	6	7270730
Associated with zinc fingers	7	7270730
Nidogen-like	7	7270730
Centromere protein H (CENP-H)	1	7270730
Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)	38	7270730
FtsH ternary system domain X3	9	7270730
CRISPR-associated protein (Cas_Csa5)	1	7270730
Zinc-ribbon	47	7270730
Dopa 4	23	7270730
RNA polymerase I	2	7270730
Triple gene block 3	6	7270730
FAM195 family	1	7270730
Putative lipoprotein LpqV	7	7270730
Dynein attachment factor N-terminus	6	7270730
Acidic N-terminal SPT6	1	7270730
Myeloma-overexpressed-like	3	7270730
Ta0938	7	7270730
Bap31/Bap29 cytoplasmic coiled-coil domain	9	7270730
Phage protein	10	7270730
Fasciclin domain	24	7270730
Invasion gene expression up-regulator	4	7270730
Corticotropin-releasing factor family	1	7270730
Pre-PUA superfamily	6	7270730
Dehydroquinase class II	3	7270730
RNA polymerase II transcription elongation factor	1	7270730
Ribosome-associated complex head domain	4	7270730
Late nodulin protein	2	7270730
Autophagy-related protein C terminal domain	6	7270730
Class-I Glutamine amidotransferase superfamily	6	7270730
"Isomerase,CoA transferase & Translation initiation factor Superfamily"	1	7270730
Exocrine gland-secreting peptide	1	7270730
Tify domain binding domain	3	7270730
Phosphatidylethanolamine-binding protein	13	7270730
Mid domain of argonaute	1	7270730
Omega toxin-like	14	7270730
SSXT protein (N-terminal region)	14	7270730
Defensin/myotoxin-like superfamily	1	7270730
Stealth protein CR2	3	7270730
Lysine-2	4	7270730
Conjugal transfer protein TrbH	2	7270730
Janus/Ocnus family (Ocnus)	3	7270730
Methyl-viologen-reducing hydrogenase	1	7270730
RPAP1-like	4	7270730
TerB-C domain	2	7270730
Glycophorin-binding protein	1	7270730
TRAM1-like protein	5	7270730
UB2H/UvrB interaction domain superfamily	6	7270730
Unstructured linking region I-set and fnIII on Brother of CDO	1	7270730
Heat induced stress protein YflT domain	1	7270730
Kringle/FnII superfamily	32	7270730
Ubiquinol-cytochrome c reductase 8 kDa	2	7270730
HypF finger	1	7270730
WAP-type (Whey Acidic Protein) 'four-disulfide core'	10	7270730
Ribonucleotide reductase N-terminal	2	7270730
IT (Ion Transporter) superfamily	1	7270730
Stage V sporulation protein AA	5	7270730
Geminivirus putative movement protein	1	7270730
Spanin	1	7270730
Cation transporting ATPase	1	7270730
Bacterial toxin 47	1	7270730
Histone acetyltransferase subunit NuA4	4	7270730
Syntaxin-5 N-terminal	9	7270730
Flavoprotein	2	7270730
Atg29 N-terminal domain	1	7270730
ER protein Pkr1	13	7270730
GPI-GlcNAc transferase complex	15	7270730
Succinyl-CoA synthetase flavodoxin domain superfamily	6	7270730
S. aureus uracil DNA glycosylase inhibitor	1	7270730
Microtubule-associated protein CRIPT	5	7270730
Get5 carboxyl domain	8	7270730
WSC domain	10	7270730
Sld7 C-terminal domain	5	7270730
Formylglycinamide ribonucleotide amidotransferase linker domain	6	7270730
Cop9 signalosome subunit 5 C-terminal domain	6	7270730
Fip1 motif	3	7270730
Sigma domain on NACHT-NTPases	1	7270730
Alkylmercury lyase	1	7270730
Extracellular tail	17	7270730
XPA protein N-terminal	2	7270730
Micro-tubular organiser Mto1 C-term Mto2-binding region	4	7270730
Bacterial signalling protein N terminal repeat	10	7270730
Ubiquitin conjugating enzyme like superfamily	3	7270730
Placenta-specific protein 9	1	7270730
Polyketide synthase dimerisation element domain	2	7270730
Flagellin hook IN motif	1	7270730
Ubiquinol-cytochrome-c reductase complex subunit (QCR10)	3	7270730
Bacterial translation initiation factor IF-2 associated region	3	7270730
Dictyostelium (slime mold) repeat	2	7270730
Scorpion acidic alpha-KTx toxin family	1	7270730
PelD GGDEF domain	1	7270730
Arcadin 1	3	7270730
DNA repair REX1-B	1	7270730
Aminoacyl-tRNA editing domain	1	7270730
Myosin VI cargo binding domain	2	7270730
Transcriptional activator of glycolytic enzymes	5	7270730
DNA-binding 11 kDa phosphoprotein	1	7270730
Chordopoxvirus A13L protein	1	7270730
Spo12 family	5	7270730
Shwachman-Bodian-Diamond syndrome (SBDS) protein	7	7270730
Alpha helical Porin B	1	7270730
Centrosome microtubule-binding domain of Cep57	1	7270730
4F5 protein related disordered region	10	7270730
Proteasome maturation factor UMP1	1	7270730
Acetyl-CoA dehydrogenase C-terminal like	16	7270730
Putative phage holin	2	7270730
ATP-dependent helicase C-terminal	1	7270730
Mitochondrial F1-F0 ATP synthase subunit F of fungi	1	7270730
Fusaric acid resistance protein-like superfamily	11	7270730
E2 (early) protein	1	7270730
RNase LS	2	7270730
Malonate transporter MadL subunit	3	7270730
RACo linker region	2	7270730
ELM2 domain	3	7270730
LolA/B superfamily	7	7270730
Ribonucleotide reductase alpha domain	2	7270730
Phage tail tube protein	2	7270730
PapG chaperone-binding domain	1	7270730
Keratin	1	7270730
TATA element modulatory factor 1 DNA binding	1	7270730
Large polyvalent protein associated domain 25	1	7270730
Poxvirus protein I5	1	7270730
Insect cuticle protein	36	7270730
Elongation factor Tu domain 4	18	7270730
Protein trafficking PGA2	1	7270730
Sporulation and spore germination	2	7270730
YfiR/HmsC-like	1	7270730
L-proline 3-hydroxylase	3	7270730
Uncharacterized conserved protein (DUF2173)	5	7270730
Somatomedin B domain	5	7270730
Testicular haploid expressed repeat	3	7270730
Peptidase family M23 N-terminal domain	1	7270730
Viral Gag protein	3	7270730
SUZ domain	3	7270730
Lines C-terminus	2	7270730
Maintenance of mitochondrial structure and function	2	7270730
Conidiation protein 6	9	7270730
ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)	6	7270730
Sm_like domain	78	7270730
Type IIB DNA topoisomerase	3	7270730
SWIRM-associated region 1	2	7270730
T4 gene Gp59 loader of gp41 DNA helicase C-term	92	7270730
Chromosome segregation protein Csm1/Pcs1	4	7270730
Transmembrane protein 65	11	7270730
Sialidase superfamily	2	7270730
Predicted membrane protein (DUF2214)	3	7270730
Mitochondrial function	4	7270730
"SRP alu RNA binding heterodimer, SRP9/14 superfamily"	10	7270730
Conserved TM helix	15	7270730
Fumarylacetoacetase N-terminal domain 2	5	7270730
Uncharacterized protein family	2	7270730
Ubiquitin-activating enzyme E1 FCCH domain	26	7270730
Hemingway/CFA97	5	7270730
Bacteriophage translational regulator	4	7270730
ATP:guanido phosphotransferase	8	7270730
CXXC zinc finger domain	4	7270730
Major surface glycoprotein 2 C terminal	1	7270730
Nanos RNA binding domain	9	7270730
Ubiquinol-cytochrome C reductase	15	7270730
Predicted membrane protein (DUF2177)	3	7270730
Olduvai domain	2	7270730
Mitochondrial import receptor subunit or translocase	3	7270730
GTP-binding GTPase Middle Region	2	7270730
C5HC2 zinc finger	5	7270730
XPC-binding domain	4	7270730
Elongation factor G-binding protein	1	7270730
Cobaltochelatase CobS subunit N terminal	10	7270730
Archaeal Type IV pilin	1	7270730
Sec23/Sec24 helical domain	7	7270730
Potential Monad-binding region of RPAP3	2	7270730
Bacterial antifreeze protein repeat	2	7270730
Serine dehydratase beta chain superfamily	3	7270730
Seripauperin and TIP1 family	2	7270730
Plasma membrane calcium transporter ATPase C terminal	1	7270730
DNA polymerase III polC-type N-terminus I	6	7270730
Uncharacterized protein conserved in bacteria (DUF2242)	2	7270730
Glutamate dehydrogenase N terminal	1	7270730
Tetrahydrodipicolinate succinyltransferase N-terminal	2	7270730
Reverse transcriptase thumb domain	3	7270730
FerI (NUC094) domain	3	7270730
Peptidase	1	7270730
DGC domain	15	7270730
Unconventional myosin-X coiled coil domain	1	7270730
ATP-binding cassette cobalt transporter	1	7270730
Divalent cation transporter	1	7270730
NusB-like superfamily	1	7270730
Helicase associated domain (HA2)	10	7270730
Homodimerisation domain of SGTA	2	7270730
NF-X1 type zinc finger	1	7270730
Subtilisin inhibitor-like	4	7270730
Uncharacterized conserved domain (SAYSvFN)	17	7270730
Mitochondrial import receptor subunit Tom6	2	7270730
Metanogen output domain 2	12	7270730
Flagella accessory protein C (FlaC)	1	7270730
Carbon monoxide dehydrogenase subunit alpha N-terminal domain	1	7270730
MoaC family	1	7270730
HupH hydrogenase expression protein	3	7270730
36-mer N-terminal peptide of the N protein (N36)	3	7270730
Cytochrome C oxidase assembly factor 2	1	7270730
Scorpion antimicrobial peptide	1	7270730
CheW-like domain	1	7270730
Transmembrane domain of transglycosylase PBP1 at N-terminal	1	7270730
Immunity protein 30	1	7270730
DHS-like NAD/FAD-binding domain	11	7270730
NADH dehydrogenase 1 beta subcomplex subunit 2	1	7270730
ATP synthase regulation	1	7270730
Cas9 C-terminal domain	2	7270730
FtsK alpha domain	1	7270730
Apc13p protein	17	7270730
BCL7	1	7270730
HsdM N-terminal domain	6	7270730
Nucleoside diphosphate kinase	1	7270730
Mitochondrial ATPase expression	1	7270730
MED6 mediator sub complex component	1	7270730
Interferon-induced 35 kDa protein (IFP 35) N-terminus	1	7270730
Protein phosphatase inhibitor	1	7270730
NinB protein	3	7270730
Copper/zinc superoxide dismutase (SODC)	2	7270730
Antigen MPT63/MPB63 (immunoprotective extracellular	7	7270730
N-terminal PilZ-like domain PilZN1	2	7270730
SH3 domain of SH3b2 type	1	7270730
SMODS and LOG-Smf/DprA-Associating Two TM	3	7270730
"Acyl-CoA dehydrogenase, C-terminal domain-like"	2	7270730
Metallothionein	2	7270730
Histidine kinase receptor ArcB trans-membrane domain	1	7270730
Tombusvirus movement protein	3	7270730
Replication protein A interacting C-terminal	6	7270730
Small VCP/p97-interacting protein	3	7270730
Wound-inducible basic protein family	6	7270730
DNA endonuclease activator SAE2/CtIP C-terminus	5	7270730
Gluconate 2-dehydrogenase subunit 3	2	7270730
Spectrin-binding region of Ca2+-Calmodulin	2	7270730
Ethylene-responsive binding factor-associated repression	1	7270730
Cyclin-dependent kinase inhibitor	3	7270730
Polymerase A arginine-rich C-terminus	3	7270730
PLAC8 family	3	7270730
Snapin/Pallidin	7	7270730
NADH-ubiquinone oxidoreductase complex I	15	7270730
MNLL subunit	3	7270730
Apoptosis-antagonizing transcription factor	11	7270730
Cyanobacterial and plastid NDH-1 subunit M	17	7270730
Heme iron utilization protein-like superfamily	1	7270730
Sea anemone toxin k like	8	7270730
Anticodon-binding domain	5	7270730
Elongation factor TS	2	7270730
Formiminotransferase domain	1	7270730
DAP10 membrane protein	1	7270730
Cytoplasmic tRNA 2-thiolation protein 2	1	7270730
Sirohaem biosynthesis protein C-terminal	2	7270730
SRP72 RNA-binding domain	1	7270730
AIR synthase related protein	2	7270730
Oligomerization domain of C4b-binding protein alpha	1	7270730
TRCF domain	1	7270730
Orsellinic acid/F9775 biosynthesis cluster protein D	3	7270730
Binding domain of Nse4/EID3 to Nse3-MAGE	5	7270730
Transcription factor Iwr1	3	7270730
Pro-opiomelanocortin	1	7270730
CDI immunity proteins	1	7270730
Effector Associated Constant Component 1	2	7270730
Sec23/Sec24 beta-sandwich domain	4	7270730
Biogenesis of lysosome-related organelles complex-1 subunit 2	10	7270730
Zinc chelating superfamily	2	7270730
Rb-binding domain of kinetochore protein Cenp-F/LEK1	1	7270730
Acyltransferase clan	2	7270730
Holin of 3TMs	4	7270730
Bacterial sugar transferase	1	7270730
Unstructured region 10 on multiple PDZ protein	1	7270730
Progressive rod-cone degeneration	4	7270730
2EXR family	3	7270730
Spindle pole body component 110 C-terminal domain	1	7270730
Fumarylacetoacetase N-terminal	1	7270730
Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases	1	7270730
PAPA-1-like conserved region	4	7270730
MutS family domain IV	2	7270730
Multiple myeloma tumor-associated	2	7270730
DNA polymerase catalytic subunit Pol	1	7270730
JNK-interacting protein leucine zipper II	1	7270730
Glycoside hydrolase/deacetylase superfamily	1	7270730
Carbohydrate binding	1	7270730
Killer toxin-resistance protein 1	2	7270730
KGK domain	7	7270730
Adipokinetic hormone	1	7270730
NADH dehydrogenase [ubiquinone] flavoprotein 3	2	7270730
YusW-like protein	2	7270730
Transcription-silencing protein	1	7270730
Pericentrin-AKAP-450 domain of centrosomal targeting protein	4	7270730
BING4CT (NUC141) domain	4	7270730
3'5'-cyclic nucleotide phosphodiesterase N-terminal	6	7270730
Voltage-dependent L-type calcium channel	5	7270730
Defensin propeptide	2	7270730
Chitin synthase N-terminal	3	7270730
Erythronolide synthase	2	7270730
Mitochondrial contact site complex	3	7270730
Spore germination protein GerPE	1	7270730
Immunity protein 10	1	7270730
Ras guanyl-nucleotide exchange factor activity N-term	1	7270730
GXWXG protein	1	7270730
Heme-dependent peroxidases superfamily	15	7270730
Transcription mediator complex subunit Med12	3	7270730
AARP2CN (NUC121) domain	3	7270730
Ubiquitin/SUMO-activating enzyme ubiquitin-like domain	3	7270730
Tuftelin interacting protein N terminal	2	7270730
lipin	1	7270730
"Copper amine oxidase, domains 1 and 2"	3	7270730
Nicotinamide phosphoribosyltransferase	1	7270730
Calcium/calmodulin-dependent protein kinase II inhibitor	1	7270730
CofH/MqnC C-terminal region	1	7270730
Saposin A-type domain	2	7270730
THAP domain	43	7270730
Cytoplasmic polyadenylation element-binding protein ZZ domain	3	7270730
CHD subfamily II	3	7270730
Tower	3	7270730
SAND domain	1	7270730
Erythronolide synthase docking domain	5	7270730
Styelin	1	7270730
HNH/Endo VII superfamily nuclease toxin with a HHH motif	1	7270730
Pre ATP-grasp domain	1	7270730
VanZ like family	2	7270730
C-terminal domain of neuropilin glycoprotein	1	7270730
WKF domain	3	7270730
TfuA-like protein	1	7270730
PilX N-terminal	4	7270730
Sulphur globule protein	1	7270730
KELAA motif	6	7270730
N-terminal conserved domain of Nudc.	11	7270730
YTV	2	7270730
Flagellar hook-associated protein 2 N-terminus	1	7270730
Histone RNA hairpin-binding protein RNA-binding domain	3	7270730
PBCV-specific basic adaptor domain	2	7270730
Endoplasmic reticulum protein ERp29	8	7270730
Phycoerythrin	24	7270730
CUB clan	2	7270730
SecD/SecF GG Motif	3	7270730
MYB-CC type transfactor	9	7270730
Replication stress response SDE2 C-terminal	4	7270730
Meiosis-expressed	3	7270730
Occludin homology domain	2	7270730
Folate binding domain	1	7270730
Endo/exonuclease (EXOG) C-terminal domain	2	7270730
NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)	2	7270730
DRF Autoregulatory Domain	1	7270730
Recombination	1	7270730
Herpesviridae UL52/UL70 DNA primase	2	7270730
Ubiquinol-cytochrome C reductase complex 14kD subunit	2	7270730
"Fatty acid responsive transcription factor FadR, C-terminal domain"	2	7270730
RbcX protein	1	7270730
Proteasome assembly chaperone 3	4	7270730
Cilia- and flagella-associated protein 298	3	7270730
MyTH4 domain	1	7270730
ABC-transporter N-terminal	4	7270730
VirK protein	1	7270730
Bypass of Forespore C	2	7270730
MoxR-vWA-beta-propeller ternary system domain bpX1	5	7270730
Pab87 octamerisation domain	1	7270730
LPS binding domain of CAP18 (C terminal)	1	7270730
2-oxoisovalerate dehydrogenase E1 alpha subunit N terminal	2	7270730
Immunity protein 8	3	7270730
Uracil-DNA glycosylase inhibitor	1	7270730
Respiratory nitrate reductase beta C-terminal	1	7270730
Anticodon binding domain	2	7270730
Inorganic pyrophosphatase	2	7270730
Alpha 1	2	7270730
Arginine decarboxylase helical bundle domain	1	7270730
C1q and TNF superfamily	1	7270730
GoLoco motif	10	7270730
Amino-terminal Zinc-binding domain of ubiquitin ligase E3A	1	7270730
Calmodulin-binding domain C0 of NMDA receptor NR1 subunit	7	7270730
RNA dependent RNA polymerase	9	7270730
cAMP-dependent protein kinase inhibitor	3	7270730
Thyroglobulin type-1 repeat	17	7270730
PHD finger protein 12 MRG binding domain	3	7270730
BEN domain	3	7270730
PBZ domain	5	7270730
Testis-expressed 12	1	7270730
Early Protein (E6)	1	7270730
Immunity protein 52	2	7270730
Kinetoplastid membrane protein 11	2	7270730
NUMB domain	1	7270730
RNA recognition motif of the spliceosomal PrP8	2	7270730
KN motif	2	7270730
Dynein heavy chain AAA lid domain	1	7270730
HAD domain in Swiss Army Knife RNA repair proteins	1	7270730
XkdW protein	5	7270730
HalX domain	11	7270730
Archaeal flagella protein	1	7270730
PTN/MK heparin-binding protein family	3	7270730
BIR-like domains	10	7270730
Coiled-coil N-terminus of APC	3	7270730
Endonuclease VIII-like 1	1	7270730
Syndecan domain	3	7270730
Aphid Megourins	1	7270730
BESS motif	9	7270730
Bcl-2 inhibitors of programmed cell death	3	7270730
EB module	1	7270730
Spin/Ssty Family	4	7270730
Ninjurin	1	7270730
TRP-interacting helix	2	7270730
DM DNA binding domain	2	7270730
VPR/VPX protein	1	7270730
Transforming growth factor beta type I GS-motif	3	7270730
Spectrin repeat	7	7270730
Viral nucleic acid binding	1	7270730
MHC_I C-terminus	1	7270730
Tuberculin-active protein	1	7270730
ATPase proteolipid family	1	7270730
Large polyvalent protein associated domain 29	4	7270730
Chromosome segregation during meiosis	2	7270730
Magnetochrome domain	1	7270730
Ubiquinol-cytochrome-c reductase complex assembly factor 3	1	7270730
Hsp70-interacting protein N N-terminal domain	2	7270730
Nas2 N_terminal domain	1	7270730
SecD export protein N-terminal TM region	1	7270730
C terminal SARAH domain of Mst1	2	7270730
DKNYY family	1	7270730
Syncollin	1	7270730
MIOREX complex component 7	1	7270730
SNARE-complex protein Syntaxin-18 N-terminus	1	7270730
Herpesvirus UL33-like protein	1	7270730
Transcription elongation factor C-terminal nonapeptide repeat	1	7270730
Herpesvirus UL11 homologue	1	7270730
Toxin Fst	1	7270730
Aerotolerance regulator N-terminal	1	7270730
Sorting nexin C terminal	2	7270730
Cytochrome c oxidase subunit VIc	6	7270730
"SH2, phosphotyrosine-recognition domain superfamily"	6	7270730
ADAMTS cysteine-rich domain 2	1	7270730
RDD family	1	7270730
Proline utilization A proline dehydrogenase N-terminal domain	1	7270730
Frog skin active peptide family signal and propeptide	1	7270730
Mitochondrial import receptor subunit TOM6 homolog	1	7270730
GM130 C-terminal binding motif	1	7270730
Putative WW-binding domain and destruction box	1	7270730
Dppa2/4 conserved region in higher vertebrates	1	7270730
Leucine-rich repeat-containing protein 37 family	1	7270730
D domain of beta-TrCP	5	7270730
Small membrane A-kinase anchor protein	1	7270730
Presenilin enhancer-2 subunit of gamma secretase	3	7270730
GatD N-terminal domain	1	7270730
GTP cyclohydrolase I feedback regulatory protein (GFRP)	1	7270730
Beta-amyloid precursor protein C-terminus	3	7270730
The Golgi pH Regulator (GPHR) Family N-terminal	1	7270730
Phage tail tube proteins superfamily	1	7270730
FxsA cytoplasmic membrane protein	2	7270730
Nitrosopumilus output domain 1	4	7270730
Putative zinc finger motif	1	7270730
Predicted methyltransferase regulatory domain	2	7270730
MOSC N-terminal beta barrel domain	1	7270730
HepA-related protein (HARP)	2	7270730
MgtC family	4	7270730
Archaellum regulatory network B	1	7270730
DUF based on E. rectale Gene description (DUF3880)	2	7270730
FKBP12-rapamycin binding domain	2	7270730
O-phosphoseryl-tRNA synthetase C-terminal domain	1	7270730
Anaphase-promoting complex subunit 9	1	7270730
Orthopoxvirus F8 protein	1	7270730
Effector-associated domain 9	2	7270730
Uncharacterized protein conserved in archaea (DUF2095)	2	7270730
Coiled-coil and interaction region of P66A and P66B with MBD2	1	7270730
UME (NUC010) domain	1	7270730
RGS-like superfamily	1	7270730
Spt5 transcription elongation factor	1	7270730
HIRA B motif	2	7270730
Nuclear cap-binding protein subunit 3	3	7270730
Resolvase	3	7270730
Immune Mapped Protein 2 (IMP2) C-terminal domain	3	7270730
N-terminal helicase PWI domain	1	7270730
Translation-initiation factor 2	2	7270730
Anti-sigma-D factor RsdA to sigma factor binding region	3	7270730
Transient receptor ion channel II	6	7270730
Homodimerisation region of STAR domain protein	1	7270730
Cellulose or protein binding domain	3	7270730
Nuclear receptor repeat	1	7270730
Pre-mRNA cleavage complex II protein Clp1	6	7270730
Wall-associated receptor kinase C-terminal	1	7270730
Tau and MAP protein	7	7270730
CREB-binding protein/p300	1	7270730
Phenylalanine zipper	2	7270730
Putative treble-clef	2	7270730
Abl-interactor HHR	3	7270730
XRN-Two Binding Domain	3	7270730
BRE1 E3 ubiquitin ligase	2	7270730
Saxitoxin biosynthesis operon protein SxtJ	1	7270730
LKB1 serine/threonine kinase interacting protein 1	2	7270730
Targeting protein for Xklp2 (TPX2) domain	1	7270730
PET Domain	1	7270730
AIMP2 lysyl-tRNA synthetase binding domain	1	7270730
Tricorn protease C1 domain	2	7270730
Vacuolar sorting protein 39 domain 2	2	7270730
UCH-binding domain	2	7270730
Protein C10	2	7270730
Transmembrane proteins 230/134	1	7270730
BLOC-1-related complex sub-unit 7	1	7270730
Centriolar protein SAS N-terminal	2	7270730
ClpP/Crotonase superfamily	2	7270730
Williams-Beuren syndrome DDT (WSD)	1	7270730
Hepatocellular carcinoma-associated antigen 59	1	7270730
Coiled-coil domain-containing protein 167	1	7270730
TFIIIC subunit triple barrel domain	2	7270730
Beta-galactosidase	1	7270730
BURAN domain	1	7270730
Zinc finger	2	7270730
FERM adjacent (FA)	2	7270730
NUP50 (Nucleoporin 50 kDa)	3	7270730
Protein SOGA	1	7270730
Nuclear envelope localisation domain	3	7270730
CXC domain	1	7270730
HSA domain	2	7270730
Transactivation domain of FOXO protein family	1	7270730
Male sterility protein	4	7270730
Lipin/Ned1/Smp2 multi-domain protein middle domain	1	7270730
Protein FAM135	1	7270730
SAB domain	1	7270730
Eclosion hormone	1	7270730
ENT domain	1	7270730
SUZ-C motif	3	7270730
Leucine-tRNA synthetase-specific domain	1	7270730
Ephrin type-A receptor 2 transmembrane domain	2	7270730
Hermes transposase DNA-binding domain	1	7270730
Nucleolin binding domain	1	7270730
WRC	1	7270730
